location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
27516012,Chez Maurice,Besancon,France,48.69669,2.185055,,0,,restaurant
4371326,Le Palais D'orsay,Orsay,France,48.696896,2.188588,2.6,48,$$ - $$$,restaurant
14970449,Bud's Deli,Orsay,France,48.696884,2.185316,4.9,20,$,restaurant
19341022,Pizza Cesar,Orsay,France,48.697037,2.185293,4.0,28,$$ - $$$,restaurant
27252710,La Pause Gourmande,Orsay,France,48.696716,2.185168,,0,,restaurant
27208958,Papa Sandwichs,Villebon-sur-Yvette,France,48.68767,2.20592,5.0,1,,restaurant
2210617,People Business Novinsky Hotel,Moscow,Russia,55.75346,37.58195,4.0,114,,hotel
18313390,Marakand,Moscow,Russia,55.75345,37.58196,5.0,6,$,restaurant
23981340,House of Obolenskiye,Moscow,Russia,55.754124,37.5822,4.5,2,,attraction
23842422,Kvart-Hotel Smolenskaya,Moscow,Russia,55.75345,37.58207,,0,,hotel
11977912,Finance House of the Prince Shherbatov,Moscow,Russia,55.75345,37.58196,4.8,4,,attraction
5074529,Teremok Blinnye,Moscow,Russia,55.75322,37.58073,4.2,33,$,restaurant
32981213,Kapibar Bar,Moscow,Russia,55.752934,37.58234,5.0,10,$$ - $$$,restaurant
24868281,Zvezdy Arbata Hotel and Apartments,Moscow,Russia,55.75338,37.5807,3.6,17,,hotel
11872657,Yoko,Moscow,Russia,55.753036,37.580563,3.6,30,$$$$,restaurant
32985579,Bar Kapibar,Moscow,Russia,55.752922,37.582348,,0,,restaurant
28061329,Mo's Bistro,Roztoky,Czech Republic,50.1637,14.3896,,0,,restaurant
2261000,Penzion U Novaku,Roztoky,Czech Republic,50.16093,14.3886,1.0,1,,hotel
7123538,Restaurace Na Vrskach,Roztoky,Czech Republic,50.16054,14.38828,,0,,restaurant
5508696,Motorest pod Ripem,Postrizin,Czech Republic,50.23276,14.38792,3.9,12,,restaurant
18996590,Baba ruins,Prague,Czech Republic,50.11834,14.38958,4.0,1,,attraction
620816,Patanka,Prague,Czech Republic,50.1138,14.389164,3.9,18,$,hotel
15618448,Ambassador Apartments,Prague,Czech Republic,50.11198,14.39038,,0,,hotel
7113419,Experience Prague,Prague,Czech Republic,50.10762,14.38855,5.0,2,,attraction
7269915,Juliska,Prague,Czech Republic,50.1117,14.38755,4.4,14,,attraction
2262702,Na Fare,Prague,Czech Republic,50.12295,14.39084,5.0,2,,restaurant
28006706,Omilkoch,Ludwigsfelde,Germany,52.311714,13.257104,4.0,1,,restaurant
25565918,Villa Toscana II,Berlin,Germany,52.309376,13.259248,4.0,2,,restaurant
17820969,Restaurant S'Mahl,Grossbeeren,Germany,52.34782,13.270071,5.0,1,$,restaurant
28302067,Waldstadion Ludwigsfelde,Ludwigsfelde,Germany,52.30809,13.260359,,0,,attraction
6962694,DESI Indian Restaurant,Ludwigsfelde,Germany,52.305904,13.258304,4.6,38,$$ - $$$,restaurant
